pm1,device_id,co,humidity,co2,pm2_5,pm10,temperature,voc,timestamp
18,7,227,73.01,1012,29,29,30.55,879,2025-06-30 21:31:40
17,7,227,73.01,1012,27,29,30.56,881,2025-06-30 21:30:35
18,7,226,72.91,1012,30,33,30.55,882,2025-06-30 21:30:06
18,7,228,72.82,1012,31,31,30.56,886,2025-06-30 21:29:38
19,7,228,72.82,1009,29,31,30.59,886,2025-06-30 21:28:54
18,7,230,72.62,1008,29,31,30.59,886,2025-06-30 21:28:25
20,7,230,72.62,1011,28,31,30.6,888,2025-06-30 21:27:55
18,7,231,72.52,1010,27,32,30.6,892,2025-06-30 21:27:26
20,7,231,72.42,1007,30,32,30.62,892,2025-06-30 21:26:56
19,7,232,72.39,1008,29,29,30.63,893,2025-06-30 21:26:27
19,7,232,72.32,1003,24,28,30.62,895,2025-06-30 21:25:57
17,7,233,71.99,1002,26,34,30.67,899,2025-06-30 21:25:28
19,7,234,71.99,1001,29,30,30.67,901,2025-06-30 21:24:32
18,7,234,71.89,999,27,31,30.71,903,2025-06-30 21:24:03
19,7,235,71.7,1000,29,32,30.75,908,2025-06-30 21:23:34
19,7,236,71.6,1001,29,31,30.77,910,2025-06-30 21:22:40
18,7,236,71.6,998,30,32,30.78,912,2025-06-30 21:22:11
18,7,236,71.5,997,28,31,30.82,914,2025-06-30 21:21:41
20,7,238,71.31,997,28,33,30.85,918,2025-06-30 21:20:59
20,7,239,71.27,997,28,31,30.89,918,2025-06-30 21:20:17
20,7,239,71.08,995,29,30,30.89,921,2025-06-30 21:19:47
20,7,241,71.17,995,30,32,30.95,931,2025-06-30 21:19:18
19,7,241,71.17,998,28,31,30.96,934,2025-06-30 21:18:36
19,7,241,71.08,1003,29,32,30.97,940,2025-06-30 21:18:08
19,7,242,70.98,1002,30,33,30.97,946,2025-06-30 21:17:39
18,7,243,70.58,984,27,28,31.04,942,2025-06-30 21:17:01
19,7,244,70.78,985,29,32,31.06,947,2025-06-30 21:16:19
18,7,246,70.88,984,29,34,31.09,950,2025-06-30 21:15:52
20,7,247,71.04,976,30,35,31.16,961,2025-06-30 21:15:20
21,7,248,71.24,978,31,35,31.18,974,2025-06-30 21:14:12
20,7,244,71.63,978,30,44,31.16,982,2025-06-30 21:13:35
19,7,215,72.12,972,29,31,31.11,958,2025-06-30 21:13:06
28,7,289,85.27,659,49,53,32.88,1388,2025-06-30 21:03:48
27,7,289,85.37,656,44,51,32.88,1388,2025-06-30 21:03:18
27,7,290,85.37,654,44,50,32.87,1382,2025-06-30 21:02:49
28,7,289,85.47,653,45,49,32.85,1363,2025-06-30 21:02:19
28,7,288,85.61,652,46,49,32.83,1347,2025-06-30 21:01:49
30,7,288,85.51,653,47,51,32.84,1332,2025-06-30 21:01:20
29,7,288,85.51,653,47,50,32.81,1315,2025-06-30 21:00:50
28,7,287,85.41,652,44,47,32.8,1298,2025-06-30 21:00:21
28,7,286,85.41,651,46,49,32.77,1280,2025-06-30 20:59:51
31,7,286,85.41,651,48,52,32.78,1260,2025-06-30 20:59:22
30,7,286,85.32,652,49,52,32.73,1241,2025-06-30 20:58:53
32,7,285,85.22,650,50,54,32.72,1216,2025-06-30 20:58:22
32,7,285,85.12,650,49,55,32.71,1187,2025-06-30 20:57:46
