timestamp_start,timestamp_end,iteration_no.,annotation
2025-04-03 11:12,2025-04-03 11:22,1,Agarbatti
2025-04-03 15:06,2025-04-03 15:16,2,Agarbatti
2025-04-03 16:45,2025-04-03 16:55,3,Agarbatti
2025-04-09 11:58,2025-04-09 12:08,4,Agarbatti
2025-04-09 14:39,2025-04-09 14:49,5,Agarbatti
2025-04-09 16:35,2025-04-09 16:45,6,Agarbatti
2025-04-10 10:19,2025-04-10 10:29,7,Agarbatti
2025-04-10 11:33,2025-04-10 11:43,8,Agarbatti
2025-04-10 12:54,2025-04-10 13:04,9,Agarbatti
2025-04-03 19:02,2025-04-03 19:12,1,Cigarette
2025-04-04 13:09,2025-04-04 13:19,2,Cigarette
2025-04-04 15:30,2025-04-04 15:40,3,Cigarette
2025-04-05 11:05,2025-04-05 11:15,4,Cigarette
2025-04-05 13:05,2025-04-05 13:15,5,Cigarette
2025-04-05 16:48,2025-04-05 16:58,6,Cigarette
2025-04-08 16:06,2025-04-08 16:16,8,Cigarette
2025-04-08 19:33,2025-04-08 19:43,9,Cigarette
2025-06-15 11:35,2025-06-15 11:45,10,CIgarette
2025-06-15 13:18,2025-06-15 13:28,11,CIgarette
2025-06-20 16:12,2025-06-20 16:22,12,CIgarette
2025-06-21 16:06,2025-06-22 16:18,13,CIgarette
2025-06-21 16:23,2025-06-21 16:33,14,CIgarette
2025-06-16 17:13,2025-06-16 17:23,15,CIgarette
2025-06-17 14:12,2025-06-17 14:22,16,CIgarette
2025-06-20 17:15,2025-06-20 17:25,17,CIgarette
2025-06-29 15:56,2025-06-29 16:01,18,Cigarette
2025-06-29 16:26,2025-06-29 16:31,19,Cigarette
2025-06-29 16:51,2025-06-29 16:56,20,Cigarette
2025-06-29 17:15,2025-06-29 17:20,22,Cigarette
2025-06-29 17:36,2025-06-29 17:41,23,Cigarette
2025-06-29 17:50,2025-06-29 17:55,24,Cigarette
